04e00	one
04e8c	two
04e09	three
056db	four
04e94	five
0516d	six
04e03	seven
0516b	eight
04e5d	nine
05341	ten
053e3	mouth
065e5	day
06708	month
07530	rice field
076ee	eye
053e4	old
0543e	I
05192	risk
0670b	companion
0660e	bright
05531	chant
06676	sparkle
054c1	goods
05442	spine
0660c	prosperous
065e9	early
065ed	rising sun
04e16	generation
080c3	stomach
065e6	nightbreak
080c6	gall bladder
04e98	span
051f9	concave
051f8	convex
065e7	olden times
081ea	oneself
0767d	white
0767e	hundred
04e2d	in
05343	thousand
0820c	tongue
05347	measuring box
06607	rise up
04e38	round
05bf8	measurement
05c02	specialty
0535a	Dr.
05360	fortune-telling
04e0a	above
04e0b	below
05353	eminent
0671d	morning
053ea	only
08c9d	shellfish
08c9e	upright
054e1	employee
0898b	see
05150	newborn babe
05143	beginning
09801	page
09811	stubborn
051e1	mediocre
08ca0	defeat
04e07	ten thousand
053e5	phrase
0808c	texture
065ec	decameron
052fa	ladle
07684	bull's eye
09996	neck
04e59	fishguts
04e71	riot
076f4	straightaway
05177	tool
0771f	true
05de5	craft
05de6	left
053f3	right
06709	possess
08cc4	bribe
08ca2	tribute
09805	paragraph
05200	sword
05203	blade
05207	cut
053ec	seduce
0662d	shining
05247	rule
0526f	vice-
05225	separate
04e01	street
0753a	village
053ef	can
09802	place on the head
05b50	child
05b54	cavity
04e86	complete
05973	woman
0597d	fond
05982	likeness
06bcd	mama
08cab	pierce
05144	elder brother
0514b	overcome
05c0f	little
05c11	few
05927	large
0591a	many
05915	evening
06c50	eventide
05916	outside
0540d	name
077f3	stone
08096	resemblance
0785d	nitrate
07815	smash
07802	sand
0524a	plane
05149	ray
0592a	plump
05668	utensil
081ed	stinking
05999	exquisite
07701	focus
0539a	thick
05947	strange
05ddd	stream
05dde	state
09806	obey
06c34	water
06c37	icicle
06c38	eternity
06cc9	spring
0539f	meadow
09858	petition
06cf3	swim
06cbc	marsh
06c96	open sea
06c5f	creek
06c41	soup
06f6e	tide
06e90	source
06d3b	lively
06d88	extinguish
06cc1	but of course
06cb3	river
06cca	overnight
06e56	lake
06e2c	fathom
0571f	soil
05410	spit
05727	pressure
057fc	cape
057a3	hedge
0572d	square jewel
05c01	seal
06daf	horizon
05bfa	Buddhist temple
06642	time
05747	level
0706b	fire
0708e	inflammation
07169	anxiety
06de1	thin
0706f	lamp
07551	farm
0707d	disaster
07070	ashes
070b9	spot
07167	illuminate
09b5a	fish
06f01	fishing
091cc	ri
09ed2	black
058a8	black ink
09bc9	carp
091cf	quantity
05398	rin
057cb	bury
0540c	same
06d1e	den
080f4	trunk
05411	yonder
05c1a	esteem
05b57	character
05b88	guard
05b8c	perfect
05ba3	proclaim
05bb5	wee hours
05b89	relax
05bb4	banquet
05bc4	draw near
05bcc	wealth
08caf	savings
06728	tree
06797	grove
068ee	forest
06842	Japanese Judas-tree
067cf	oak
067a0	frame
068a2	treetops
068da	shelf
0674f	apricot
06850	paulownia
0690d	plant
067af	wither
06734	crude
06751	town
076f8	inter-
0673a	desk
0672c	book
0672d	tag
066a6	calendar
06848	plan
071e5	parch
0672a	not yet
0672b	extremity
06cab	splash
05473	flavor
059b9	younger sister
06731	vermilion
0682a	stocks
082e5	young
08349	grass
082e6	suffering
05bdb	tolerant
08584	dilute
08449	leaf
06a21	imitation
06f20	vague
05893	grave
066ae	livelihood
0819c	membrane
082d7	seedling
05146	portent
06843	peach tree
0773a	stare
072ac	dog
072b6	status quo
09ed9	silence
07136	sort of thing
0837b	reed
072e9	hunt
0732b	cat
0725b	cow
07279	special
0544a	revelation
05148	before
06d17	wash
04ecb	jammed in
0754c	world
08336	tea
05408	fit
05854	pagoda
0738b	king
07389	jewel
05b9d	treasure
073e0	pearl
073fe	present
072c2	lunatic
07687	emperor
05448	display
05168	whole
06813	plug
07406	logic
04e3b	lord
06ce8	pour
067f1	pillar
091d1	gold
09291	pig-iron
09262	bowl
09285	copper
091e3	angling
091dd	needle
09298	inscription
093ae	tranquillize
09053	road-way
05c0e	guidance
08fbb	crossing
08fc5	swift
09020	create
08feb	urge
09003	escape
08fba	environs
05de1	patrol
08eca	car
09023	take along
08ecc	rut
08f38	transport
0524d	in front
05404	each
0683c	status
07565	abbreviation
05ba2	guest
0984d	forehead
0590f	summer
051e6	dispose
06761	twig
0843d	fall
05197	superfluous
08ecd	army
08f1d	radiance
0904b	carry
051a0	crown
05922	dream
05751	pit
09ad8	tall
04eab	receive
0587e	cram school
0719f	mellow
04ead	pavilion
04eac	capital
06dbc	refreshing
0666f	scenery
09be8	whale
0820e	cottage
05468	circumference
09031	week
058eb	gentleman
05409	good luck
058ee	robust
08358	villa
058f2	sell
05b66	study
0899a	memorize
06804	flourish
066f8	write
06d25	haven
07267	breed
0653b	aggression
06557	failure
0679a	sheet of...
06545	happenstance
0656c	awe
08a00	say
08b66	admonish
08a08	plot
07344	prison
08a02	revise
08a0e	chastise
08a13	instruction
08a54	imperial edict
08a70	packed
08a71	tale
08a60	recitation
08a69	poem
08a9e	word
08aad	read
08abf	tune
08ac7	discuss
08afe	consent
08aed	rebuke
05f0f	style
08a66	test
05f10	II
057df	range
08cca	burglar
0683d	plantation
08f09	load
08302	overgrown
06210	turn into
057ce	castle
08aa0	sincerity
05a01	intimidate
06ec5	destroy
06e1b	dwindle
0685f	scaffold
092ad	coin
06d45	shallow
06b62	stop
06b69	walk
06e09	ford
0983b	repeatedly
080af	agreement
04f01	undertake
06b74	curriculum
06b66	warrior
08ce6	levy
06b63	correct
08a3c	evidence
0653f	politics
05b9a	determine
09320	lock
08d70	run
08d85	transcend
08d74	proceed
08d8a	surpass
0662f	just so
0984c	topic
05824	dike
05efa	build
05ef6	prolong
08a95	nativity
0790e	cornerstone
05a7f	bridegroom
08863	garment
088c1	tailor
088c5	attire
088cf	back
058ca	demolition
054c0	pathetic
09060	distant
0733f	monkey
0521d	first time
05e03	linen
05e06	sail
05e45	hanging scroll
05e3d	cap
05e55	curtain
05e4c	canopy
09326	brocade
05e02	market
059c9	elder sister
080ba	lungs
05e2f	sash
06ede	stagnate
0523a	thorn
05236	system
088fd	made in...
08ee2	revolve
082b8	technique
096e8	rain
096f2	cloud
066c7	cloudy weather
096f7	thunder
0971c	frost
051ac	winter
05929	heavens
06a4b	bridge
05b0c	attractive
07acb	stand up
06ce3	cry
07ae0	badge
07af6	vie
05e1d	sovereign
07ae5	juvenile
077b3	pupil
09418	bell
05546	make a deal
05ae1	legitimate wife
09069	suitable
06ef4	drip
06575	enemy
05315	spoon
05317	north
080cc	stature
06bd4	compare
06606	descendants
07686	all
06df7	mix
06e07	thirst
08b01	audience
08910	brown
0559d	hoarse
065e8	delicious
08102	fat
058f1	I (one)
06bce	every
0654f	cleverness
06885	plum
06d77	sea
04e5e	beg
04e7e	drought
08179	abdomen
08907	duplicate
06b20	lack
05439	blow
0708a	cook
06b4c	song
08edf	soft
06b21	next
08328	briar
08cc7	assets
059ff	figure
08aee	consult with
08ce0	compensation
057f9	cultivate
05256	divide
097f3	sound
06697	darkness
097fb	rhyme
08b58	discriminating
093e1	mirror
05883	boundary
04ea1	deceased
076f2	blind
05984	delusion
08352	laid waste
0671b	ambition
065b9	direction
059a8	disturb
0574a	boy
082b3	perfume
080aa	obese
08a2a	call on
0653e	set free
06fc0	violent
08131	undress
08aac	rumor
092ed	pointed
066fd	formerly
05897	increase
08d08	presents
06771	east
068df	ridgepole
051cd	frozen
0598a	pregnancy
05ef7	courts
067d3	dye
071c3	burn
08cd3	V.I.P.
06b73	year-end
0770c	prefecture
06803	horse chestnut
05730	ground
06c60	pond
0866b	insect
086cd	lightning-bug
086c7	snake
08679	rainbow
08776	butterfly
072ec	single
08695	silkworm
098a8	wind
05df1	self
08d77	rouse
05983	queen
06539	reformation
08a18	scribe
05305	wrap
080de	placenta
07832	cannon
06ce1	bubbles
04e80	tortoise
096fb	electricity
07adc	dragon
06edd	waterfall
08c5a	pork
09010	pursue
09042	consummate
05bb6	house
05ac1	marry into
08c6a	overpowering
08178	intestines
05834	location
06e6f	hot water
07f8a	sheep
07f8e	beauty
06d0b	ocean
08a73	detailed
09bae	fresh
09054	accomplished
07fa8	envious
05dee	distinction
07740	don
0552f	solely
07126	char
07901	reef
096c6	gather
051c6	quasi-
09032	advance
096d1	miscellaneous
096cc	feminine
06e96	semi-
0596e	stirred up
0596a	rob
078ba	assurance
05348	noon
08a31	permit
06b53	delight
06a29	authority
089b3	outlook
07fbd	feathers
07fd2	learn
07fcc	the following
066dc	weekday
06fef	laundry
066f0	sayeth
056f0	quandary
056fa	harden
056fd	country
056e3	group
056e0	cause
059fb	matrimony
05712	park
056de	-times
058c7	podium
05e97	store
05eab	warehouse
05ead	courtyard
05e81	government office
05e8a	bed
09ebb	hemp
078e8	grind
05fc3	heart
05fd8	forget
05fcd	endure
08a8d	acknowledge
05fcc	mourning
05fd7	intention
08a8c	document
05fe0	loyalty
04e32	shish kebab
060a3	afflicted
0601d	think
06069	grace
05fdc	apply
0610f	idea
060f3	concept
0606f	breath
061a9	recess
06075	favor
06050	fear
060d1	beguile
0611f	emotion
06182	melancholy
05be1	widow
05fd9	busy
060a6	ecstasy
06052	constancy
060bc	lament
0609f	enlightenment
06016	dreadful
0614c	disconcerted
06094	repent
0618e	hate
06163	accustomed
06109	pleasure
060f0	lazy
0614e	humility
061be	remorse
061b6	recollection
06155	pining
06dfb	annexed
05fc5	invariably
06ccc	ooze
0624b	hand
0770b	watch over
06469	chafe
06211	ego
07fa9	righteousness
08b70	deliberation
072a0	sacrifice
062b9	rub
062b1	embrace
0642d	board
06284	extract
06297	confront
06279	criticism
062db	beckon
062d3	clear the land
062cd	clap
06253	strike
062d8	arrest
06368	discard
062d0	kidnap
06458	pinch
06311	challenge
06307	finger
06301	hold
062ec	fasten
063ee	brandish
063a8	conjecture
063da	hoist
063d0	propose
0640d	damage
062fe	pick up
062c5	shouldering
062e0	foothold
063cf	sketch
064cd	maneuver
063a5	touch
063b2	put up a notice
0639b	hang
07814	polish
06212	commandment
068b0	contraption
09f3b	nose
05211	punish
0578b	mould
0624d	genius
08ca1	property
06750	lumber
05b58	suppose
05728	exist
04e43	from
0643a	portable
053ca	reach out
05438	suck
06271	handle
04e08	length
053f2	history
0540f	officer
066f4	grow late
0786c	stiff
053c8	or again
053cc	pair
06851	mulberry
096bb	vessels
08b77	safeguard
07372	seize
05974	guy
06012	angry
053cb	friend
0629c	slip out
06295	throw
06ca1	drown
08a2d	establishment
06483	beat
06bbb	husk
0652f	branch
06280	skill
0679d	bough
080a2	limb
0830e	stalk
0602a	suspicious
08efd	lightly
053d4	uncle
07763	coach
05bc2	loneliness
06dd1	graceful
053cd	anti-
05742	slope
0677f	plank
08fd4	return
08ca9	marketing
0722a	claw
059a5	gentle
04e73	milk
06d6e	floating
05c06	leader
05968	exhort
063a1	pick
083dc	vegetable
053d7	accept
06388	impart
0611b	love
06255	pay
05e83	wide
062e1	broaden
09271	mineral
05f01	valve
096c4	masculine
053f0	pedestal
06020	neglect
06cbb	reign
059cb	commence
080ce	womb
07a93	window
053bb	gone
06cd5	method
04f1a	meeting
081f3	climax
05ba4	room
05230	arrival
081f4	doth
04e92	mutually
068c4	abandon
080b2	bring up
064a4	remove
05145	allot
09283	gun
0786b	sulphur
06d41	current
05141	license
05506	tempt
051fa	exit
05c71	mountain
062d9	bungling
05ca9	boulder
070ad	charcoal
05c90	branch off
05ce0	mountain peak
05d29	crumble
05bc6	secrecy
0871c	honey
05d50	storm
05d0e	promontory
05165	enter
08fbc	crowded
05206	part
08ca7	poverty
09812	partition
0516c	public
0677e	pine tree
07fc1	venerable old man
08a1f	sue
08c37	valley
06d74	bathe
05bb9	contain
06eb6	melt
06b32	longing
088d5	abundant
0925b	lead (metal)
06cbf	run alongside
08cde	prize
0515a	party
05802	public chamber
05e38	usual
088f3	skirt
0638c	manipulate
076ae	pelt
06ce2	waves
05a46	old woman
062ab	expose
07834	rend
088ab	incur
06b8b	remainder
06b89	martyrdom
06b8a	particularly
06b96	augment
05217	file
088c2	split
070c8	ardent
06b7b	death
0846c	interment
077ac	wink
08033	ear
053d6	take
08da3	gist
06700	utmost
064ae	snapshot
06065	shame
08077	post
08056	holy
06562	daring
08074	listen
061d0	pocket
06162	ridicule
06f2b	loose
08cb7	buy
07f6e	placement
07f70	penalty
05be7	rather
06fc1	voiced
074b0	ring
09084	send back
0592b	husband
06276	aid
06e13	mountain stream
0898f	standard
066ff	exchange
08cdb	approve
06f5c	submerge
05931	lose
09244	iron
08fed	transfer
081e3	retainer
059eb	princess
08535	storehouse
081d3	entrails
08ce2	intelligent
05805	strict
081e8	look to
089a7	perusal
05de8	gigantic
062d2	repel
0529b	power
07537	male
052b4	labor
052df	recruit
052a3	inferiority
0529f	achievement
052e7	persuade
052aa	toil
052b1	encourage
052a0	add
08cc0	congratulations
067b6	erect
08107	armpit
08105	threaten
05354	co-
0884c	going
05f8b	rhythm
05fa9	restore
05f97	gain
05f93	accompany
05f92	junior
05f85	wait
05f80	journey
05f81	subjugate
05f84	diameter
05f7c	he
05f79	duty
05fb3	benevolence
05fb9	penetrate
05fb4	indications
061f2	penal
05fae	delicate
08857	boulevard
08861	equilibrium
07a3f	draft
07a3c	earnings
07a0b	extent
07a0e	tax
07a1a	immature
0548c	harmony
079fb	shift
079d2	second
079cb	autumn
06101	distress
079c1	private
079e9	regularity
079d8	secret
079f0	appellation
05229	profit
068a8	pear tree
07a6b	harvest
07a42	ear (of a plant)
07a32	rice plant
09999	incense
05b63	seasons
059d4	committee
079c0	excel
0900f	transparent
08a98	entice
07a40	cereals
083cc	germ
07c73	rice
07c89	flour
07c98	sticky
07c92	grains
07ca7	cosmetics
08ff7	astray
07c8b	chic
07ce7	provisions
083ca	chrysanthemum
05965	core
06570	number
0697c	watchtower
0985e	sort
06f06	lacquer
069d8	Esq.
06c42	request
07403	ball
06551	salvation
07af9	bamboo
07b11	laugh
07b20	bamboo hat
07b39	bamboo grass
07b4b	muscle
07bb1	box
07b46	writing brush
07b52	cylinder
07b49	etc.
07b97	calculate
07b54	solution
07b56	scheme
07c3f	register
07bc9	fabricate
04eba	person
04f50	assistant
04f46	however
04f4f	dwell
04f4d	rank
04ef2	go-between
04f53	body
060a0	permanence
04ef6	affair
04ed5	attend
04ed6	other
04f0f	prostrated
04f1d	transmit
04ecf	Buddha
04f11	rest
04eee	sham
04f2f	chief
04fd7	vulgar
04fe1	faith
04f73	excellent
04f9d	reliant
04f8b	example
0500b	individual
05065	healthy
05074	side
04f8d	waiter
0505c	halt
05024	price
05023	emulate
05012	overthrow
05075	spy
050e7	Buddhist priest
05104	hundred million
05100	ceremony
0511f	reparation
04ed9	hermit
050ac	sponsor
04ec1	humanity
04fae	scorn
04f7f	use
04fbf	convenience
0500d	double
0512a	tenderness
04f10	fell
05bbf	inn
050b7	wound
04fdd	protect
08912	praise
05091	greatness
04ed8	adhere
07b26	token
05e9c	borough
04efb	responsibility
08cc3	fare
04ee3	substitute
0888b	sack
08cb8	lend
05316	change
082b1	flower
08ca8	freight
050be	lean
04f55	what
08377	baggage
04fca	sagacious
0508d	bystander
04e45	long time
0755d	furrow
056da	captured
05185	inside
